array,horizon,sky_class,n,model,rmse,nrmse,skill_vs_convex
array11,6,overcast,236,lstm,1.2162748556368304,24.325497112736606,0.26500114921190177
array11,6,overcast,236,lstm_residual,1.2419580545570814,24.839161091141627,0.24948070857838822
array12,1,clear,2229,xgboost,0.15370876403821424,3.0138973340826323,0.34167170061222496
array12,1,clear,2229,lstm,0.1432770752897826,2.8093544174467175,0.38635019345203625
array12,1,clear,2229,lstm_residual,0.16049511021543145,3.1469629454006167,0.312606059717517
array12,1,partly_cloudy,1223,xgboost,0.47249064052022793,9.264522363141726,0.1453453848306434
array12,1,partly_cloudy,1223,lstm,0.4782170201716023,9.376804317090242,0.13498734516266087
array12,1,partly_cloudy,1223,lstm_residual,0.4843053338337523,9.496183016348084,0.12397462888064936
array12,1,overcast,239,xgboost,0.3762130250825866,7.376725982011502,0.20449264647735543
array12,1,overcast,239,lstm,0.38072774232236706,7.465249849458178,0.19494621792791222
array12,1,overcast,239,lstm_residual,0.3961825083329769,7.768284477117195,0.16226691341496213
array12,3,clear,2225,xgboost,0.2414167238714371,4.733661252381119,0.48155659617738145
array12,3,clear,2225,lstm,0.23546696138375986,4.616999242818821,0.49433373550137527
array12,3,clear,2225,lstm_residual,0.26647261636412334,5.224953262041635,0.42774896437205745
array12,3,partly_cloudy,1221,xgboost,0.5862787340810879,11.495661452570351,0.04923933704287653
array12,3,partly_cloudy,1221,lstm,0.5882934412455104,11.535165514617852,0.04597211241411159
array12,3,partly_cloudy,1221,lstm_residual,0.6171617054517109,12.101209910817861,-0.0008431793909504659
array12,3,overcast,239,xgboost,0.795065267448715,15.58951504801402,0.3615567074923821
array12,3,overcast,239,lstm,0.7794236212980399,15.282816103883135,0.3741170650850628
array12,3,overcast,239,lstm_residual,0.8142912955702051,15.966495991572648,0.3461180646560317
array12,6,clear,2218,xgboost,0.32215022037476065,6.316670987740406,0.29800147562457835
array12,6,clear,2218,lstm,0.30396938133164336,5.960183947679282,0.3376193972430337
array12,6,clear,2218,lstm_residual,0.32788595793244596,6.4291364300479605,0.285502712479187
array12,6,partly_cloudy,1225,xgboost,0.5748425651953984,11.271422846968598,0.04276487438804055
array12,6,partly_cloudy,1225,lstm,0.5709538661885476,11.195173846834267,0.04924038526296104
array12,6,partly_cloudy,1225,lstm_residual,0.574191888157975,11.258664473685785,0.04384839003799801
array12,6,overcast,236,xgboost,1.2226378068351649,23.973290330101275,0.24575384197866523
array12,6,overcast,236,lstm,1.179450131223257,23.126473161240337,0.2723963506775189
array12,6,overcast,236,lstm_residual,1.2088909501330158,23.703744120255216,0.2542342879410757
array17,1,clear,2229,xgboost,0.2093025284145365,3.322262355786294,0.24309610854358987
array17,1,clear,2229,lstm,0.20462305875850695,3.247985059658841,0.26001854526440193
array17,1,clear,2229,lstm_residual,0.22925702708152298,3.639000429865444,0.17093435394122725
array17,1,partly_cloudy,1223,xgboost,0.6371609376937823,10.113665677679085,0.0967651467592211
array17,1,partly_cloudy,1223,lstm,0.6406330670185482,10.168778841564256,0.09184308070721359
array17,1,partly_cloudy,1223,lstm_residual,0.6475971978720746,10.279320601144041,0.08197077790691609
array17,1,overcast,239,xgboost,0.5142345674808987,8.162453452077758,0.09259920043439407
array17,1,overcast,239,lstm,0.5302552800851039,8.416750477541333,0.06432959674384364
array17,1,overcast,239,lstm_residual,0.5645900945852582,8.961747533099336,0.003743552746453216
array17,3,clear,2225,xgboost,0.3262846418199537,5.179121298729424,0.37717823368860826
array17,3,clear,2225,lstm,0.31559132299784964,5.009386079330946,0.39758995665345676
array17,3,clear,2225,lstm_residual,0.3425998043307419,5.438092132233999,0.3460353693602478
array17,3,partly_cloudy,1221,xgboost,0.7955299067718036,12.627458837647676,0.05272774218031262
array17,3,partly_cloudy,1221,lstm,0.816551523087236,12.961135287098985,0.027696384112399164
array17,3,partly_cloudy,1221,lstm_residual,0.8152387032475789,12.940296876945695,0.02925961612044381
array17,3,overcast,239,xgboost,1.0766899863543558,17.090317243719934,0.2168975199252542
array17,3,overcast,239,lstm,1.0216643786957949,16.21689489993325,0.2569189656256484
array17,3,overcast,239,lstm_residual,1.0291832993588195,16.336242846965387,0.2514502740864647
array17,6,clear,2218,xgboost,0.44660506649430026,7.088969309433337,0.23226332101919545
array17,6,clear,2218,lstm,0.41422992989591495,6.57507825231611,0.2879178169448736
array17,6,clear,2218,lstm_residual,0.4494355006893267,7.1338968363385185,0.2273976615988471
array17,6,partly_cloudy,1225,xgboost,0.8016516478303035,12.724629330639738,0.022276519410293738
array17,6,partly_cloudy,1225,lstm,0.7922475323999024,12.575357657141307,0.03374612032156821
array17,6,partly_cloudy,1225,lstm_residual,0.8035706014440313,12.75508891181002,0.019936093850909997
array17,6,overcast,236,xgboost,1.6015477247304912,25.421392456039545,0.16217502662553307
array17,6,overcast,236,lstm,1.5390201408789388,24.428891125062524,0.19488536704602377
array17,6,overcast,236,lstm_residual,1.5399993944372958,24.44443483233803,0.19437308566109324
